unknown-id1	unknown-id2	name	rank	unknown-id	authority-date	authority-name	date	comment
135618	20566	inermis	113		1914	Bock	7/3/2004	?Cenozoic, Pliocene (Caribbean, Santo Domingo: Bowden horizon);   Recent, North Atlantic;
135619	20566	inermis	113		1924	Bock	7/3/2004	Vide Membranipora inermis;
137375	20774	inermis	113		1914	Bock	7/3/2004	Vide Diachoris inermis;
138339	20834	inermis	113		1890	Bock	7/3/2004	in Liu, Yin & Ma 2001, Nomen nudum; Recent, China
138662	20848	inermis	113		1868	Bock	7/3/2004	Recent, Pacific (Indonesia);
138663	20848	inermis	113		1923	Bock	7/3/2004	Vide Hemeschara sincera inermis;
139443	20893	inermis	113		1852	Bock	7/3/2004	Vide Schizoporella cleidostoma inermis;
139869	20965	inermis	113		1962	Bock	7/3/2004	Nunc Beania fide Jelly (1889);   Recent, Pacific (New Zealand, Chile), Indian Ocean (Kerguelen);
140455	20363	inermis	113		1964	Bock	12/3/2004	Nomen nudum; Recent, China
129991	20081	inermis unicornis	113		1943	Bock	7/3/2004	Vide Flustra denticulata inermis;
131655	10090	infantae	113		1924	Bock	7/3/2004	248; Vide Hemeschara sincera inermis;
130823	20158	inflata	113		188	Bock	7/3/2004	non O'Donoghue, 1924; Nunc Ramphonotus fide Livingstone (1926);   Etiam Rhamphonotus fide Moyano (1991);   Recent, Antarctic;
131465	20873	inflata	113		1929	Bock	7/3/2004	non Kluge, 1914; Vide Membranipora galeata inermis;
